userName;score;at;content;Unnamed: 4;Unnamed: 5;score_ SH.;score_1;score_2;score_3;score_4;score_5;Unnamed: 5_Baik;Unnamed: 4_14/10/2024 17.02
Hafis Akbar;5;16/10/2024 13.46;Mantap;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Yuli Ana;5;16/10/2024 13.43;The best;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Hadry Toretto Hadry Toretto;5;16/10/2024 13.41;Top bgt;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Reza Andika Nurdiansyah;1;16/10/2024 13.37;Update versi malah tambah busuk, liat reels sama foto yg muncul gambar blur sama cacing muter. Bukan krn koneksi ya, soalnya nonton Livestream di YouTube sama tiktok lancar jaya aman sentosa.;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Gayustambunan Mateusyomaki;5;16/10/2024 13.35;Sangat bagus aplikasinya ini saya suka memakainya;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Dheo Achmad Fauzi;1;16/10/2024 13.34;"ini Instagram kenapa si, internet lancar tapi muter"" trs ngeliat foto/vidio. mohon pihak Instagram di cek aplikasi nya, kayanya bermasalah";14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Nun Jariyah;1;16/10/2024 13.31;Pemboros paket data;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Dippos Sinaga;5;16/10/2024 13.29;Sangat bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Sitait Ali;1;16/10/2024 13.25;Lambat slow lemot parah;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Yehuda Wongso;1;16/10/2024 13.23;Penghinaan terhadap lagu kebangsaan suatu negara dianggap tidak melanggar pedoman.;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
L TV Project;1;16/10/2024 13.22;hal yg paling mengecewakan diinstagram sekarang adalah tidak bisa report akun dan postingan yg padahal akun dan postingan itu mengandung beberapa hal yg dituju! semakin tidak berguna fitur report;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Jacky Mubarok Mubarok;5;16/10/2024 13.21;Oke;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Gracella Florist;5;16/10/2024 13.21;Bagus good;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Neneng NuryanCahya;4;16/10/2024 13.19;Kenapa ga bisa di update;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
Lanno Baghy;2;16/10/2024 13.19;Sangat menyenangkan bertemu dan kenal banyak orang;14/10/2024 17.02;Baik;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
laili;2;16/10/2024 13.17;sehari update 2x,heran.baru seminggu di update,ada notif update lagi.apa maunya coba ? haaah ya sudahlah;14/10/2024 17.02;Baik;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
Yusuf Suryaman;5;16/10/2024 13.16;terbaik dsn tersegalanya;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Astri Ayuningsih Panjaitan;1;16/10/2024 13.14;Knp lelet kali tiap lihat story pdhl jaringan bagus;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Mungkin Nanti;1;16/10/2024 13.11;Gara2 noaimi9;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Miranti Maharani;5;16/10/2024 13.11;Pengguna setia instagram dari tahun 2015🥰;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Bukik Uma;5;16/10/2024 13.11;Nice;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Grand Chandramaya Residence;5;16/10/2024 13.08;Sangat. Membantu;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Muhammad Mukhlis;5;16/10/2024 13.08;Luarbiasa;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Afifah tunisa Az-zahra;5;16/10/2024 13.07;Kenangan gue sama dia masih ada di arsipan wkwkwk;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Ririn Ririn;2;16/10/2024 13.06;tidak muncul di branda;14/10/2024 17.02;Baik;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
Iril Kh1;3;16/10/2024 13.04;Aplikasi ko update tiap hari heran terheran heran;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
GADIS DESA;1;16/10/2024 13.02;inbox gak bisa dibuka,disuruh apdate tapi di Apk gak bisa diupdate karena gak ada tulisan update adanya cuma BUKA DAN UNINSTAL ini mksutnya gmna kok APK GAK JELAS;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
liethaa;2;16/10/2024 12.58;please fix it again, I have reported an account that uses my own face but it has been almost a month and Instagram has not followed up on the account. I am very disadvantaged by this incident!;14/10/2024 17.02;Baik;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
Haryanto Harjianto;5;16/10/2024 12.56;Excellent;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Suharja Suharja Suharja Suhara Suharja Suharja;2;16/10/2024 12.55;Mas Suharja Ganteng;14/10/2024 17.02;Baik;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
Made Kumkum;5;16/10/2024 12.51;Mantap;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Febrino Official;5;16/10/2024 12.50;rame in postingan yang di upload;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
pusat gadai tbo;5;16/10/2024 12.50;Mantap;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Oji saputra Maha;4;16/10/2024 12.48;Kxjakoso;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
Safei Buyung;5;16/10/2024 12.40;Luar biasa IG;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Husni Saleh;1;16/10/2024 12.40;Kalau ada bintang minus saya kasih minus 1000⭐️🌟;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Sendal Jepet;5;16/10/2024 12.39;Sangat bagus aplikasinya sayasuka banget;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Resky;5;16/10/2024 12.39;Bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Ydp_ Channel;2;16/10/2024 12.38;Kok Loadingnya makin lama yaa sekarang, Makin Burukk;14/10/2024 17.02;Baik;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
Ajrul Faisal;1;16/10/2024 12.36;Reels makin gajelas, developer kocak;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Riska Rahmadani;5;16/10/2024 12.33;Sangat bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Cinta Indah;5;16/10/2024 12.33;Sangat baguss;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Rangga Newg;5;16/10/2024 12.32;Mantap;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Ayu Andira;3;16/10/2024 12.31;karnaa akun saya banyak banget batas aktivitas!!!;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
Lutfi;3;16/10/2024 12.31;bug nya menyebalkan;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
Jesika Lusiana;2;16/10/2024 12.26;instagram aku kok ngak bisa follow lagi yah ☹️💔 udah lama banget ngak bisa follow akun teman-temanku Sedih😢 banget , tolong yah perbaiki instagram aku pliss😭🙏🏻🙏🏻🙏🏻🙏🏻;14/10/2024 17.02;Baik;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
Imam Bondowoso;5;16/10/2024 12.25;Aplikasi yang sangat bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Fatwa Achmadian Syah Finsyah;4;16/10/2024 12.23;You know me so well, you know laah !!!;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
13 Kalviyan Ixc;1;16/10/2024 12.22;Ini kenapa belakangan ini kayak lag memuat trus, postingan nya susah muncul nya/ tidak kelihatan? Padahal sinyal lancar full, kuota banyak, wifi on jaringan bagus, kenapa kok kayak lag dan memuat lama bnget posting postingan nyab;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
